Time (s),X (m),Y (m),Z (m),q1 (norm),q2 (i),q3 (j),q4 (k)
1735693260.0, 3291614.2644324563, 4064805.095557855, 3637866.9093780965, 0.8135482915207474, 0.38908664604828763,0.40049146009756553,-0.16234946756761354
1735693261.0, 3291617.4196942756, 4064807.9955351767, 3637869.554980961, 0.7816221049830739, 0.4071521728094136,0.44322429038075617,-0.16384816628475585
1735693262.0, 3291625.7623802116, 4064817.297626459, 3637877.988622159, 0.7628262029809227, 0.432648108994112,0.4562991155264706,-0.15067486518755535
1735693263.0, 3291639.363780716, 4064833.0860361224, 3637892.2875369187, 0.7447213302842879, 0.45957574756058434,0.4647860820334196,-0.13473741285090135
1735693264.0, 3291658.296010999, 4064855.445935811, 3637912.529849716, 0.7260927018732428, 0.48662787507001026,0.4713082795892571,-0.1176911427503184
1735693265.0, 3291682.632021697, 4064884.463475744, 3637938.794585136, 0.7069248168401095, 0.5129736271047909,0.4765031119934397,-0.10030027662524243
1735693266.0, 3291712.445607761, 4064920.2257976593, 3637971.1616788, 0.68752966192543, 0.5379745410721777,0.48060228069948735,-0.08311320543291652
1735693267.0, 3291747.8114204146, 4064962.8210453936, 3638009.7119883774, 0.6683208333721402, 0.5611659857067601,0.4837453022179516,-0.06656187158269271
1735693268.0, 3291788.8049755055, 4065012.338378554, 3638054.527304681, 0.649708210197687, 0.5822597156143541,0.48606045319842,-0.05097157061496721
1735693269.0, 3291835.5026661907, 4065068.867982815, 3638105.690362827, 0.6320385332093502, 0.6011305332080569,0.48768088762134965,-0.036561269567974154
1735693270.0, 3291887.981770825, 4065132.501084205, 3638163.2848534724, 0.6155679076417055, 0.6177856391861333,0.4887402666354836,-0.02345222518373538
1735693271.0, 3291946.3204656695, 4065203.3299596477, 3638227.3954341128, 0.6004568994645747, 0.6323271537636543,0.4893642427002969,-0.011684197229994576
1735693272.0, 3292010.597834062, 4065281.4479504526, 3638298.107740447, 0.586780798831195, 0.6449156574922152,0.48966372339128955,-0.0012356532642461867
1735693273.0, 3292080.8938776096, 4065366.949474309, 3638375.5083977953, 0.5745469430671603, 0.6557404383014025,0.48973154034264327,0.007956518213909835
1735693274.0, 3292157.2895267345, 4065459.930037856, 3638459.6850325717, 0.5637133623118443, 0.6649981386989273,0.48964206073450167,0.01598039541772882
